so_luot_yeu_thich,so_luot_danh_gia,so_luong_ban,ten_nguoi_ban,diem_danh_gia,nganh_hang
128.0,179.0,179.0,qqfwholesale,4.9,Shopee | Women's Bags | Shoulder Bags | Shoulder Bags
19.0,17.0,17.0,stationery.my,5.0,Shopee | Home Appliances | Sewing Machines | Sewing Machines and Accessories
21500.0,8100.0,8100.0,fooyin88,4.9,Shopee | Women's Bags | Handbags | Set Handbags
3400.0,6500.0,6500.0,vivi2002,4.9,Shopee | Women Clothes | Maternity Wear | Innerwear
132.0,10.0,10.0,xpro.gadget,5.0,Shopee | Cameras & Drones | DSLR Cameras | DSLRs
11.0,17.0,17.0,hokarhock,5.0,Shopee | Others | Fengshui & Religious Supplies
219.0,493.0,493.0,orangetechnology,4.9,Shopee | Mobile & Accessories | Cases & Covers | Mobile Pouches
34.0,17.0,17.0,mrbunny.my,5.0,Shopee | Men Clothes | Traditional Wear | Bottoms
4300.0,2900.0,2900.0,switch_os,4.9,Shopee | Mobile & Accessories | Cool Gadgets | Stylus
47.0,553.0,553.0,yutianying3.my,4.9,Shopee | Mobile & Accessories | Cables & Chargers | Docks
2100.0,1200.0,1200.0,hnkk8896,4.9,Shopee | Men's Bags & Wallets | Messenger Bags | Messenger Bags
232.0,110.0,110.0,miroshi_ent.my12,4.9,Shopee | Watches | Others
1900.0,1900.0,1900.0,siowgogo,4.9,Shopee | Health & Beauty | Fragrances | Gift Set & Sampler
694.0,118.0,118.0,toysstreet,4.9,Shopee | Baby & Toys | Baby & Toddler Play | Indoor Climber & Play Structure
11100.0,12000.0,12000.0,setiaborongsales,4.8,Shopee | Men Clothes | Innerwear | Undershirts
17.0,1.0,1.0,gejiaomaoyi2.my,5.0,Shopee | Men Clothes | Sleepwear & Pajamas | Pajama Set
1400.0,1700.0,1700.0,herman.my,4.9,Shopee | Home & Living | Stationery | Writing Utensils
770.0,463.0,463.0,choonkeat90,5.0,Shopee | Home & Living | Kitchen Storage | Food Storage & Dispensers
80.0,65.0,65.0,nanamall.os,4.9,Shopee | Health & Beauty | Eye Care | Eye Cream & Serum
20.0,19.0,19.0,elegantlyred.os,5.0,Shopee | Groceries & Pets | Alcoholic Beverages | Others
981.0,1200.0,1200.0,goojodoqshop.my,4.9,Shopee | Home Appliances | Cooling & Heating | Fans
30.0,93.0,93.0,baseuscar.os,4.9,Shopee | Mobile & Accessories | Cables & Chargers | iPhone Cables
321.0,1000.0,1000.0,aw_team,4.9,Shopee | Home Appliances | Large Kitchen Appliances | Refrigerators
327.0,1100.0,1100.0,sewingstore,5.0,Shopee | Home Appliances | Sewing Machines | Sewing Machines and Accessories
2500.0,3500.0,3500.0,sumohome.os,4.9,Shopee | Fashion Accessories | More Accessories | Keychains & Lanyard
261.0,118.0,118.0,sales.printjc,4.8,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
971.0,1200.0,1200.0,akolyong.my,4.7,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
3700.0,181.0,181.0,fashflowstore.my,4.9,Shopee | Women Clothes | Skirts | Others
2.0,1.0,1.0,pywholesales,5.0,Shopee | Men Clothes | Suits | Suit Sets
